id,总检测粉丝数,有效粉丝数,比例
52419475446,4945,99,0.979979777553084
55275016069,4867,3533,0.27409081569755495
63312725770,4982,3956,0.20594138900040143
58647768746,4998,3605,0.27871148459383754
96168836151,4967,2702,0.4560096637809543
109414357747,4702,2566,0.4542747766907699
63998384204,4997,3246,0.3504102461476886
98551818236,4508,3629,0.19498669032830523
206307418974036,4994,3958,0.20744893872647177
64109990799,4998,3364,0.3269307723089236
96065709918,4993,2436,0.512116963749249
111347930342,5000,3432,0.3136
94856314660,5000,1596,0.6808
70188634859,4946,3086,0.3760614638091387
63040901228,4991,3053,0.3882989380885594
97825816601,4997,3186,0.3624174504702822
94954456633,5000,3341,0.3318
108800721222,4999,3746,0.2506501300260052
100596276651,4999,3563,0.2872574514902981
3276183615311348,5000,2630,0.474
55670942590,4997,3555,0.2885731438863318
2502123084846014,4999,3532,0.29345869173834765
96431366523,5000,3191,0.3618
3645612664305467,4752,4557,0.041035353535353536
95168046374,4994,3437,0.3117741289547457
20533348851,3283,1739,0.47030155345720376
95807921902,4984,3378,0.32223113964687
1446587692495492,4977,4554,0.08499095840867993
95406253935,3524,2474,0.29795686719636777
64002251227,4950,2600,0.47474747474747475
109101010163,5000,3200,0.36
98040145009,4883,2149,0.5599016997747287
64378804083,4260,2388,0.4394366197183099
51034889328,4998,3312,0.33733493397358943
63179502940,4999,3509,0.2980596119223845
13846852221,5001,3867,0.22675464907018597
102652941279,4998,3118,0.3761504601840736
4019675988157,4996,4012,0.1969575660528423
58627666438,4996,2609,0.4777822257806245
71158762229,3134,1840,0.41289087428206767
2062310298099387,5000,2681,0.4638
2941911011968535,3479,1885,0.45817763725208394
110426729864,4998,3427,0.31432573029211686
3883079584714167,4986,3304,0.3373445647813879
3645620455223780,4999,3209,0.35807161432286455
95600415067,4996,2981,0.4033226581265012
70472460523,4067,2223,0.45340545856896974
3170636073283755,4995,2470,0.5055055055055055
95626200278,5000,3475,0.305
56532218743,4982,3131,0.37153753512645527
99825045260,4984,3524,0.2929373996789727
426249684787470,4458,2344,0.47420367877972186
71326717836,4997,3051,0.3894336601961177
51766426482,3870,2262,0.41550387596899224
96029276887,4999,2958,0.40828165633126623
96455872126,4994,2975,0.40428514217060474
71050164064,4999,3831,0.23364672934586916
102945597551,4997,2691,0.46147688613167903
72826294894,4635,3393,0.26796116504854367
56629587180,4992,4276,0.14342948717948717
2985863490319949,4996,2663,0.4669735788630905
63627582614,4948,2619,0.47069523039611966
65081998957,4993,2229,0.5535750050070098
53911781653,4998,3396,0.3205282112845138
13071752416,4999,2804,0.43908781756351273
101576654226,4998,2810,0.4377751100440176
108587680218,4999,3888,0.22224444888977796
100330323642,3134,1593,0.49170389278876836
3047478330921319,4165,4138,0.006482593037214886
63550942037,5000,3576,0.2848
1059563815044316,4996,3270,0.34547638110488393
57339988735,5000,3041,0.3918
111001821486,4994,3053,0.3886663996796155
101090520114,4999,3717,0.25645129025805163
110819840112,5000,3167,0.3666
63963142852,4999,2241,0.5517103420684136
98016533422,5001,3116,0.3769246150769846
62973486859,4991,2429,0.5133239831697055
96419706614,4980,4613,0.07369477911646587
64250368846,3772,2530,0.32926829268292684
100198985123,4972,3093,0.37791633145615444
2669218471879757,4996,2728,0.45396317053642915
64131296567,4996,2979,0.40372297838270615
63183587295,4900,2782,0.4322448979591837
98104896357,4996,2639,0.47177742193755007
100699777714,5000,2864,0.4272
1393815986907837,4996,3482,0.30304243394715774
100391475951,4991,4334,0.13163694650370666
63566875145,4984,2717,0.45485553772070625
63634693207,4999,3069,0.3860772154430886
100115856547,4993,4249,0.14900861205687962
97841109401,4997,3847,0.23013808284970982
110786844414,4018,1933,0.5189148830263813
101238111516,5000,3441,0.3118
1516958181753323,4979,4755,0.044988953605141595
62596234619,4990,2752,0.44849699398797593
58520715854,4996,2804,0.4387510008006405
108273927582,5000,2861,0.4278
110185895196,5004,3532,0.2941646682653877
70943761033,3478,1925,0.4465209890741806
109269607125,4994,2846,0.4301161393672407
98394096983,4999,3623,0.27525505101020203
98896016304,4998,2403,0.5192076830732293
56733450179,4989,2216,0.5558228101824013
1121125077361923,4976,3566,0.28336012861736337
71912549439,4998,3443,0.31112444977991194
101468554354,4165,2802,0.32725090036014404
4138185792422487,4900,3434,0.29918367346938773
72564651883,4977,2920,0.4133011854530842
98610431756,2695,2356,0.12578849721706864
108963400506,4996,1203,0.7592073658927142
95978143485,4999,3412,0.3174634926985397
108627891235,5000,2987,0.4026
100756404464,4996,3335,0.3324659727782226
63546180059,4997,2695,0.4606764058435061
95462933794,4978,3442,0.30855765367617516
71752765872,4996,2839,0.43174539631705366
101246351335,5000,3397,0.3206
95063104834,3429,2353,0.3137941090696996
62961652222,3332,2392,0.28211284513805523
97772510933,4997,2727,0.4542725635381229
58198519311,4997,4701,0.059235541324794874
71022865420,4996,3423,0.31485188150520416
101094433588,4999,3971,0.20564112822564512
4410839599430167,5000,2353,0.5294
98247093927,4996,2712,0.45716573258606885
52941645907,4994,3190,0.36123348017621143
63001365294,5000,3505,0.299
65524076001,5000,3394,0.3212
56094165684,5000,3908,0.2184
62339069514,4995,3625,0.27427427427427425
71767693737,4998,3134,0.37294917967186875
73043238404,2694,1421,0.4725315515961396
101238281175,4996,3512,0.29703763010408324
70622945411,4849,2806,0.4213239843266653
95632385752,4999,4121,0.17563512702540507
3619187870143059,4996,2784,0.44275420336269017
23888216478,5000,4239,0.1522
95720822034,5000,3474,0.3052
64732569749,4998,3677,0.2643057222889156
97950302394,4994,3607,0.2777332799359231
64428776497,4067,2565,0.36931399065650355
95594102278,4312,3495,0.18947124304267163
100646480580,4993,3791,0.24073703184458242
101289087265,2840,1548,0.45492957746478874
1552139459759876,4998,3081,0.3835534213685474
63712971672,4655,2959,0.3643394199785177
97705857597,4996,4665,0.06625300240192154
96179633536,4995,2307,0.5381381381381382
63848847857,4992,3717,0.25540865384615385
52432923669,5000,2803,0.4394
4120605936857335,4998,3611,0.2775110044017607
2669211107472923,4997,2534,0.49289573744246545
109762236315,4932,1806,0.6338199513381995
98518915797,4999,2460,0.5079015803160633
109834890203,2960,2015,0.31925675675675674
52597360780,4995,3326,0.3341341341341341
52931829133,5002,3496,0.3010795681727309
73117026687,4999,3370,0.32586517303460694
103003823452,4996,3276,0.344275420336269
2097487008510323,4998,3000,0.3997599039615846
100470791636,4998,2293,0.5412164865946378
70960018294,4998,3064,0.3869547819127651
98902783054,4999,2474,0.5051010202040408
95651765680,4999,3580,0.28385677135427084
95758251472,4989,2884,0.4219282421326919
98008372824,3916,1965,0.4982124616956078
58627300482,4998,2560,0.48779511804721887
39237339059672,4999,3247,0.35047009401880375
62920442076,4998,3194,0.36094437775110044
95912196817,2303,1307,0.43247937472861486
3979869135047240,4999,2673,0.4652930586117223
64718415318,4996,2840,0.4315452361889512
3979850078492380,4998,3291,0.3415366146458583
72674773834,4996,2812,0.4371497197758207
108180590570,4999,2967,0.40648129625925183
53242954156,4982,3272,0.3432356483340024
101238296168,685,345,0.49635036496350365
108913429717,4999,2809,0.4380876175235047
62754374363,4995,3400,0.31931931931931934
98149606474,4995,3208,0.35775775775775776
95448880209,5001,3344,0.3313337332533493
98346799725,98,93,0.05102040816326531
71646962814,5000,2728,0.4544
65344100887,4953,4261,0.13971330506763577
54023682633,4359,2849,0.3464097270016059
56284938462,4986,2920,0.41436020858403527
64755101425,4997,2776,0.4444666800080048
53500165833,4999,3033,0.39327865573114623
62324585633,4997,3338,0.33199919951971185
101170068684,4999,2800,0.4398879775955191
25189068324,4998,2567,0.48639455782312924
94814550299,5000,2570,0.486
63461402903,4998,4324,0.13485394157663066
50752343177,4998,3693,0.26110444177671066
53502602441,4985,3104,0.3773319959879639
100648402700,4998,2727,0.45438175270108044
96263153533,3185,2012,0.3682888540031397
63724527376,5000,3484,0.3032
96458012316,4308,2425,0.4370937790157846
73023865622,4999,3840,0.23184636927385477
95879997948,4991,3005,0.39791624924864755
65162427142,4997,4381,0.12327396437862717
58487390105,4999,2098,0.5803160632126425
52142525454,4283,3157,0.2628998365631567
58708896778,4994,3587,0.2817380857028434
3927082709048509,4999,2929,0.41408281656331264
70795390506,4997,3372,0.3251951170702421
54789526812,4999,4377,0.1244248849769954
98754671121,4997,3442,0.3111867120272163
17356083103,4408,2238,0.4922867513611615
51716305457,4966,3071,0.3815948449456303
64619226888,3137,1938,0.3822123047497609
63808766915,4899,3378,0.3104715248009798
95458086552,4999,3271,0.34566913382676534
70509553072,2353,1497,0.36379090522736934
110479764335,4998,2812,0.437374949979992
72254248342,5000,3261,0.3478
98607420573,4965,3710,0.2527693856998993
101291342153,4996,1211,0.7576060848678943
71538462358,4997,3274,0.3448068841304783
62573701758,4998,2894,0.42096838735494196
98326555498,5000,3533,0.2934
63232975167,3577,1653,0.5378809057869723
98072287417,4997,3511,0.29737842705623374
53533187136,4999,3682,0.2634526905381076
100169724830,4997,3479,0.30378226936161695
17556178514,4988,3358,0.3267842822774659
58845118124,4996,3486,0.3022417934347478
